T,S_ref,D,A,F,r_eff,q_eff,carry_eff,rmse_w,n,n_used
0.5067397260273973,3990.4,0.975509925342751,3960.090397598725,4059.5080528855965,0.04893033460026581,0.015046430010661208,0.0338839045896046,0.2613114380249987,25,15
0.5176986301369864,3998.71,0.9747148426335825,3966.088285761562,4068.9729060097065,0.049469553065460185,0.01582294818436924,0.03364660488109095,0.21722110186609025,26,15
0.5204383561643836,3982.87,0.9735349190519026,3945.8650042208665,4053.131456305265,0.051536526659283266,0.017935781667485273,0.03360074499179799,0.3382064848127739,25,15
0.5231780821917809,3969.31,0.9771144376160609,3945.8493759435205,4038.267396366084,0.044251666770652634,0.01133082734924162,0.03292083942141101,0.3789869198873025,25,15
0.5259178082191781,3919.78,0.9728093852265489,3880.678749964289,3989.146084420796,0.05241716432401388,0.019062780777223204,0.03335438354679068,0.1517077767801595,25,15
0.5286575342465754,3892.52,0.9723380514224839,3853.5483926152615,3963.1776078059534,0.05306222580773656,0.019033831726531284,0.03402839408120528,0.196897615876396,25,15
0.5368767123287671,3894.2,0.9744469389736206,3862.927912093333,3964.2260215442134,0.0482144418091827,0.015018055587500427,0.03319638622168227,0.9699629277942069,25,15
0.5396164383561644,3808.19,0.9745360673278686,3777.9328339220237,3876.6475255050696,0.047800155397020795,0.01478275931616301,0.03301739608085778,0.3781490723938386,25,15
0.5423561643835617,3853.39,0.9735820334668902,3816.237748323021,3919.7906464374014,0.04936459276830392,0.017863216686047283,0.03150137608225664,0.5800360827687843,24,15
0.545095890410959,4077.16,0.9747676306649266,4046.1016249035783,4150.837079134005,0.046883794872663774,0.014028379112659644,0.03285541576000413,0.2233870514684228,26,15
0.5478356164383562,4018.18,0.9727695059634587,3981.9015853654946,4093.3659628050386,0.05039488872025634,0.016555282393713552,0.03383960632654279,0.27650236062678196,26,15
0.556054794520548,4070.02,0.9732491936975077,4034.7596533570186,4145.659384549203,0.04876339746192903,0.015648060313860897,0.033115337148068136,0.30058152317686215,26,15
0.5587945205479452,4060.18,0.9735920429557071,4025.7764954342147,4134.972676247894,0.04789400963050829,0.01522831185491866,0.032665697775589635,0.4094561682374162,26,15
0.5615342465753425,4016.22,0.9752003383688668,3989.1557472937,4090.601274776028,0.04472096580835814,0.012041198645880533,0.032679767162477606,0.4504791824078068,26,15
0.5642739726027397,4016.84,0.9740489982296004,3989.107317752992,4095.386705395173,0.04659734754924151,0.012277808682976168,0.03431953886626534,0.38238800649429433,26,15
0.567013698630137,4019.36,0.9755996775052446,3996.5626667316265,4096.519052724002,0.04356674849397267,0.010031552369922168,0.0335351961240505,0.3104953914120643,26,15
0.5752328767123288,3971.98,0.9706123608683379,3927.104425133112,4046.0070193416973,0.051853967347719195,0.019752598576308233,0.03210136877141096,0.47423016742396973,26,15
0.5779726027397261,3899.16,0.9719179528596977,3863.4100967751447,3975.0372810870913,0.04928242028709858,0.015936580814481873,0.03334583947261671,0.24981272693693896,25,15
0.5807123287671233,3928.85,0.9738820272908336,3898.690810972286,4003.24752045969,0.04557351935274,0.013269831769486241,0.032303687583253755,0.3060087405826904,25,15
0.5834520547945206,3990.4,0.9705409460925576,3949.4196207585433,4069.297268352343,0.05124960362826239,0.017692696006019113,0.03355690762224328,0.3436403480523997,25,15
0.5944109589041097,3998.71,0.9713959860377891,3962.154882750737,4078.8256691402494,0.048823260718462234,0.015450202243837582,0.033373058474624656,0.12424694882328591,26,15
0.5971506849315069,3982.87,0.9720136356494474,3949.4027701840414,4063.114575080279,0.04753481305546513,0.014130930610081076,0.03340388244538405,0.393412101299924,25,15
0.5998904109589042,3969.31,0.9723607039623194,3936.332149910385,4048.2221606344597,0.04672261505902577,0.013907394758453704,0.032815220300572066,0.37021825484671833,25,15
0.6026301369863014,3919.78,0.9689788239015473,3874.830667194911,3998.8806479723557,0.05229164450110188,0.01913871545499874,0.03315292904610314,0.1806960776898552,25,15
0.6053698630136987,3892.52,0.9689493444579728,3849.403029203654,3972.7598261155727,0.05210524422531973,0.018399799117962367,0.03370544510735736,0.13423616936240934,25,15
0.6135890410958904,3894.2,0.9776182352995769,3884.7290763568685,3973.6667505659298,0.03689120256884498,0.003968488619934834,0.03292271394891015,0.7018967013413813,25,15
0.6163287671232877,3808.19,0.9695092214386535,3767.9642647447554,3886.4656275816315,0.05024151792971188,0.01722966445585679,0.033011853473855095,0.3125069885604678,25,15
0.6190684931506849,3853.39,0.9697791343106579,3811.118575810613,3929.883043441275,0.04956952314320633,0.017817971631767248,0.03175155151143909,0.7202514898552966,24,15
0.6218082191780823,4077.16,0.9707743808969873,4040.0796387752794,4161.708135563157,0.047701516713352744,0.014693056445594512,0.033008460267758236,0.23941597220073085,26,15
0.6245479452054795,4018.18,0.9704682508902239,3982.6754378672986,4103.869893954733,0.04799726156549589,0.014210678039451472,0.03378658352604442,0.315963910520598,26,15
0.6327671232876713,4070.02,0.9698711622787437,4031.0961965403717,4156.321327328859,0.048346441484640144,0.015186575053857457,0.033159866430782683,0.2663154717564306,26,15
0.6355068493150685,4060.18,0.968203175058755,4013.7146974723796,4145.529369110785,0.05084653639047555,0.018111742829315686,0.03273479356115987,0.46181912404544173,26,15
0.6382465753424658,4016.22,0.9678076478767343,3968.8757723694316,4100.89316929528,0.05126846517706033,0.01857947757362218,0.03268898760343815,0.20235960273721018,26,15
0.640986301369863,4016.84,0.9682796742065055,3975.848749252353,4106.09543416319,0.05028861573342841,0.016002333753890523,0.03428628197953788,0.3321530510286344,26,15
0.6437260273972603,4019.36,0.9699882421528867,3983.820528530543,4107.08125666396,0.047335866118769096,0.013796856038874504,0.03353901007989459,0.1729093716585745,26,15
0.6519452054794521,3971.98,0.969687941992799,3933.458858661664,4056.4172125086347,0.04721404233256005,0.014948427150399108,0.03226561518216094,0.6286387491373777,26,15
0.6546849315068494,3899.16,0.9675028922341878,3855.8853887914956,3985.3993406545433,0.050462234738300714,0.01704711885325685,0.03341511588504387,0.5074937013695782,25,15
0.6574246575342466,3928.85,0.9697540753792928,3891.9921940785007,4013.380601217122,0.04671679075897741,0.014337161523947298,0.032379629235030113,0.27613996906686133,25,15
0.6601643835616439,3990.4,0.87631218434218,3603.6437480289924,4112.283056675898,0.19999999999999996,0.15442516020317518,0.04557483979682478,37.6669293583586,41,15
0.6629041095890411,4018.18,0.9663138586284116,3971.8928514905515,4110.354845917523,0.051691627238155805,0.017478084339651593,0.034213542898504215,0.17078000379127328,26,15
0.6711232876712329,3998.71,0.8743936034250119,3599.4504134688464,4116.510458642137,0.2,0.15673817338095294,0.04326182661904707,32.76168590775159,52,15
0.6738630136986301,3982.87,0.873914614884035,3584.8962268573614,4102.1126844675355,0.20000000000000004,0.15622335053704703,0.04377664946295301,33.38714595643513,49,15
0.6766027397260275,3969.31,0.8784321636436206,3577.82414379364,4072.965781390902,0.1915697130931416,0.15346884574176572,0.03810086735137588,21.229558229691722,47,15
0.6793424657534247,3919.78,0.8729574248210893,3535.2073951559646,4049.690505674429,0.20000000000000004,0.1520051642409909,0.04799483575900915,44.59314900371113,47,15
0.682082191780822,3892.52,0.87247922301173,3512.6136336536524,4026.014076906479,0.2000000000000001,0.1505630533705285,0.049436946629471595,53.61919323104864,47,15
0.6903013698630137,3894.2,0.8710461887494158,3495.5446062616484,4013.0416175522164,0.2,0.1564520707514755,0.04354792924852452,32.950149372793284,50,15
0.693041095890411,3808.19,0.8705690339058323,3410.6734437456694,3917.7518506988326,0.20000000000000007,0.15907317569611748,0.040926824303882586,34.43959790425261,47,15
0.6957808219178082,3853.39,0.8700921404453393,3447.471352768205,3962.1911203607533,0.2000000000000001,0.15998178702253926,0.04001821297746083,31.44152758668185,45,15
0.6985205479452055,3990.4,0.9669067730341798,3951.244021422535,4086.4787915627307,0.04817781913491211,0.0141169863522739,0.03406083278263821,0.5249670168174556,25,15
0.7094794520547945,3998.71,0.9665816276783636,3959.2414402344107,4096.127349062209,0.0479076974169704,0.013981176841588542,0.03392652057538186,0.16933879961695153,24,15
0.7122191780821917,3982.87,0.9665091843274861,3943.5954449030737,4080.2462189193743,0.047828644271841914,0.013913986873400367,0.033914657398441544,0.461742146580743,23,15
0.714958904109589,3969.31,0.9665864876027634,3929.357639689728,4065.1899132533395,0.04753349986912611,0.014149504185289917,0.033383995683836196,0.5394218522228473,25,15
0.7176986301369862,4077.16,0.8662863853869879,3547.8449971217765,4095.4643371624516,0.19999999999999996,0.19375861353572207,0.006241386464277882,69.29642233295252,48,15
0.7204383561643835,3955.35,0.8658118379404153,3516.5630965399705,4061.5789048404977,0.20000000000000007,0.16321309418608718,0.03678690581391289,57.03561600587943,49,15
0.7286575342465753,4070.02,0.8643897547597947,3532.6692504115413,4086.8939398677103,0.19999999999999993,0.19432196883136724,0.005678031168632691,77.98251712867038,50,15
0.7313972602739726,4060.18,0.863916246278207,3548.07702891935,4106.968753284405,0.20000000000000004,0.1843342054981997,0.015665794501800334,92.8596538075776,42,15
0.7341369863013698,4016.22,0.8634429971822505,3516.9282776320492,4073.1447114738908,0.19999999999999993,0.18082892431775707,0.019171075682242855,63.0499084445415,48,15
0.7368767123287671,4016.84,0.9623835902766064,3966.703504735056,4121.748900139656,0.052033351930261075,0.017045084123362208,0.03498826780689887,0.5240489738295426,26,15
0.7396164383561643,4019.36,0.9637950371081212,3973.7476787733303,4123.021519903868,0.04985911909628639,0.015431021110454782,0.03442809798583161,0.2823552128163694,26,15
0.747835616438356,3971.98,0.9681601560692317,3942.016981832488,4071.6579350230977,0.04326853949581282,0.01012547960115955,0.03314305989465327,0.5372795805583671,26,15
0.7505753424657534,3899.16,0.965731031901307,3863.0793378931203,4000.1607179253488,0.04645758587010168,0.012385863784983759,0.034071722085117925,0.46412839610797396,25,15
0.7533150684931507,3928.85,0.9647377561678706,3886.4241720424193,4028.4773216299377,0.04765465519436431,0.014412645854613586,0.03324200933975073,0.21518623987232843,25,15
0.7560547945205479,3990.4,0.9641627968902178,3948.588185602774,4095.354226836416,0.04827047252655985,0.013932036306782034,0.03433843621977782,0.24151583465761697,25,15
