QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,S,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,K,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,T,C_IV_MID,P_IV_MID,C_MID,P_MID,C_SPRD,P_SPRD,Y,C_SPRD_REL,P_SPRD_REL,moneyness,mon_bucket,T_bucket
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.38078,0.00908,1.01036,-5.21402,0.06669,0.15841, 541.000000,9.65, 67 x 13,11.0,11.2,3865.0,21.5,21.9, 31 x 29,24.2,-0.64087,0.01045,0.99028,-5.09172,-0.11765,0.13471, 528.000000,11.6,0.003,0.0027397260273972603,0.15841,0.13471,11.1,21.7,0.1999999999999993,0.3999999999999986,0.00300840168904109,0.018018018018017955,0.018433179723502238,0.9969961190168175,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.33538,0.00878,0.96647,-4.86156,0.05895,0.15793, 1783.000000,9.1, 28 x 39,9.1,9.3,3870.0,24.2,25.4, 5 x 105,34.91,-0.69518,0.00999,0.92775,-4.64206,-0.12823,0.13153, 318.000000,16.6,0.004,0.0027397260273972603,0.15793,0.13153,9.2,24.799999999999997,0.20000000000000107,1.1999999999999993,0.004301226691346325,0.021739130434782726,0.048387096774193526,0.9957080103359173,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.27618,0.00874,0.88795,-3.94007,0.04881,0.14441, 942.000000,6.48, 378 x 69,6.4,6.6,3875.0,29.8,30.8, 95 x 103,30.4,-0.7122,0.00841,0.90372,-5.12507,-0.13143,0.15327, 244.000000,21.6,0.006,0.0027397260273972603,0.14441,0.15327,6.5,30.3,0.1999999999999993,1.0,0.005592382454966064,0.03076923076923066,0.033003300330033,0.9944232258064516,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.25033,0.00773,0.84375,-3.9334,0.0444,0.15537, 742.000000,5.45, 133 x 10,6.0,6.2,3880.0,33.8,35.2, 12 x 5,35.84,-0.74455,0.00758,0.85306,-4.94291,-0.13741,0.1596, 136.000000,26.6,0.007,0.0027397260273972603,0.15537,0.1596,6.1,34.5,0.20000000000000018,1.4000000000000057,0.0068818732848379,0.03278688524590167,0.0405797101449277,0.9931417525773195,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.21162,0.00714,0.76739,-3.39738,0.03824,0.15342, 570.000000,4.4, 4 x 11,4.8,4.9,3885.0,37.3,38.6, 100 x 105,37.84,-0.78797,0.00713,0.76919,-4.25619,-0.14523,0.15413, 34.000000,31.6,0.008,0.0027397260273972603,0.15342,0.15413,4.85,37.95,0.10000000000000053,1.3000000000000043,0.008169703469266671,0.02061855670103104,0.03425559947299089,0.9918635778635778,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.16275,0.00642,0.65553,-2.54041,0.02958,0.14459, 1156.000000,3.31, 571 x 140,3.2,3.4,3890.0,41.2,42.7, 115 x 105,52.12,-0.82196,0.00635,0.69101,-3.75205,-0.15192,0.15323, 19.000000,36.6,0.009,0.0027397260273972603,0.14459,0.15323,3.3,41.95,0.19999999999999973,1.5,0.009455877280010691,0.06060606060606053,0.03575685339690107,0.9905886889460154,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.13634,0.00566,0.58184,-2.16545,0.02489,0.14677, 831.000000,2.35, 22 x 212,2.6,2.75,3895.0,46.4,47.8, 100 x 107,52.68,-0.82883,0.00566,0.67252,-3.91756,-0.1534,0.16855, 32.000000,41.6,0.011,0.0027397260273972603,0.14677,0.16855,2.675,47.099999999999994,0.1499999999999999,1.3999999999999986,0.010740398972367435,0.05607476635514016,0.02972399150743097,0.9893170731707317,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.11953,0.00494,0.52951,-1.96392,0.021,0.15213, 4202.000000,2.1, 134 x 90,2.3,2.4,3900.0,50.8,52.2, 105 x 107,55.1,-0.85182,0.0051,0.61368,-3.57441,-0.15777,0.1716, 31.000000,46.6,0.012,0.0027397260273972603,0.15213,0.1716,2.3499999999999996,51.5,0.10000000000000009,1.4000000000000057,0.012023272785256452,0.04255319148936175,0.027184466019417586,0.988048717948718,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.0855,0.00403,0.4168,-1.3297,0.01542,0.14488, 1302.000000,1.45, 323 x 249,1.45,1.55,3905.0,55.6,56.9, 7 x 27,56.94,-0.86514,0.00451,0.5746,-3.44112,-0.16041,0.17866, 2.000000,51.6,0.013,0.0027397260273972603,0.14488,0.17866,1.5,56.25,0.10000000000000009,1.2999999999999972,0.013304502941305077,0.06666666666666672,0.02311111111111106,0.9867836107554417,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.06832,0.00341,0.35076,-1.04966,0.01238,0.14555, 958.000000,1.2, 234 x 356,1.1,1.2,3910.0,56.2,57.7, 25 x 27,64.35,-0.99895,0.0,0.0,-1.44584,-0.18519,0.00186, 18.000000,56.6,0.015,0.0027397260273972603,0.14555,0.00186,1.15,56.95,0.09999999999999987,1.5,0.014584093646930271,0.08695652173913032,0.026338893766461806,0.9855217391304347,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.05049,0.00274,0.27794,-0.75031,0.00914,0.14324, 542.000000,0.8, 389 x 303,0.75,0.85,3915.0,64.9,66.2, 7 x 27,75.29,-0.89434,0.00364,0.48503,-2.98096,-0.16638,0.18749, 7.000000,61.6,0.016,0.0027397260273972603,0.14324,0.18749,0.8,65.55000000000001,0.09999999999999998,1.2999999999999972,0.015862049092422153,0.12499999999999997,0.01983218916857356,0.9842630906768838,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.03766,0.00215,0.22153,-0.54909,0.00706,0.14344, 828.000000,0.5, 64 x 265,0.55,0.6,3920.0,68.9,70.5, 2 x 5,74.9,-0.92208,0.0031,0.38766,-2.31692,-0.17097,0.17889, 8.000000,66.6,0.017,0.0027397260273972603,0.14344,0.17889,0.575,69.7,0.04999999999999993,1.5999999999999943,0.01713837345202698,0.08695652173913032,0.022955523672883706,0.9830076530612245,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.0288,0.0017,0.17821,-0.41121,0.00534,0.14388, 1349.000000,0.37, 2 x 755,0.4,0.45,3925.0,73.5,75.2, 2 x 2,80.82,-0.93599,0.00264,0.33194,-2.02915,-0.17424,0.17824, 5.000000,71.6,0.019,0.0027397260273972603,0.14388,0.17824,0.42500000000000004,74.35,0.04999999999999999,1.7000000000000028,0.018413070884027643,0.11764705882352937,0.022864828513786187,0.9817554140127388,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.02044,0.00129,0.13034,-0.26964,0.00364,0.14166, 2356.000000,0.27, 349 x 329,0.25,0.3,3930.0,78.1,79.6, 27 x 27,124.17,-0.95539,0.00204,0.2474,-1.59074,-0.17762,0.16998, 10.000000,76.6,0.02,0.0027397260273972603,0.14166,0.16998,0.275,78.85,0.04999999999999999,1.5,0.019686145530825618,0.18181818181818177,0.019023462270133167,0.9805063613231552,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.01169,0.0008,0.08097,-0.14824,0.0024,0.14367, 473.000000,0.15, 1477 x 962,0.1,0.2,3940.0,88.2,90.1, 2 x 5,108.85,-0.9493,0.00194,0.276,-1.86725,-0.17747,0.19928, 2.000000,86.6,0.022,0.0027397260273972603,0.14367,0.19928,0.15000000000000002,89.15,0.1,1.8999999999999915,0.02222744295949814,0.6666666666666666,0.021312394840156942,0.9780177664974619,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.00978,0.00061,0.06838,-0.12402,0.00196,0.14751, 1155.000000,0.15, 323 x 551,0.1,0.15,3945.0,93.2,95.1, 2 x 2,98.26,-0.95133,0.00186,0.26826,-1.87066,-0.17781,0.20759, 2.000000,91.6,0.024,0.0027397260273972603,0.14751,0.20759,0.125,94.15,0.04999999999999999,1.8999999999999915,0.023495673947493335,0.3999999999999999,0.02018056293149221,0.9767782002534854,ATM,1W
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-05,1672952400,1.0,0.00618,0.0004,0.04476,-0.07474,0.0007,0.15217, 1751.000000,0.07, 825 x 483,0.05,0.1,3955.0,103.1,105.1, 2 x 2,136.42,-0.95581,0.00152,0.2474,-1.8313,-0.17914,0.22355, 10.000000,101.6,0.026,0.0027397260273972603,0.15217,0.22355,0.07500000000000001,104.1,0.05,2.0,0.02602732086927291,0.6666666666666666,0.01921229586935639,0.9743084702907712,ATM,1W
